pixel,wavelength_nm_reported,raman_shift_reported_cm-1,counts_pixel_file,counts_nm2_file,counts_wavenumber_file,counts_nm_file_weak
286,844.463,879.897,824.0,636.0,623.0,317.0
287,844.648,882.472,690.0,566.0,544.0,322.0
288,844.832,885.045,613.0,534.0,487.0,299.0
289,845.016,887.616,579.0,520.0,472.0,285.0
290,845.2,890.187,570.0,512.0,464.0,290.0
291,845.384,892.755,568.0,513.0,459.0,302.0
292,845.567,895.322,570.0,525.0,475.0,301.0
293,845.751,897.887,588.0,556.0,496.0,305.0
294,845.935,900.451,586.0,557.0,496.0,298.0
295,846.119,903.014,572.0,534.0,482.0,286.0
296,846.302,905.575,585.0,519.0,481.0,302.0
297,846.486,908.134,612.0,527.0,504.0,325.0
298,846.67,910.692,608.0,538.0,494.0,321.0
299,846.853,913.248,598.0,530.0,481.0,300.0
300,847.037,915.803,611.0,547.0,499.0,302.0
301,847.22,918.356,599.0,545.0,503.0,309.0
302,847.404,920.908,590.0,531.0,498.0,306.0
303,847.587,923.458,610.0,555.0,509.0,311.0
304,847.771,926.007,585.0,539.0,485.0,304.0
305,847.954,928.554,581.0,539.0,485.0,292.0
306,848.137,931.1,614.0,546.0,506.0,304.0
307,848.32,933.644,622.0,530.0,496.0,307.0
308,848.504,936.186,604.0,544.0,487.0,307.0
309,848.687,938.728,602.0,539.0,473.0,298.0
310,848.87,941.267,626.0,556.0,481.0,300.0
311,849.053,943.805,626.0,574.0,494.0,314.0
312,849.236,946.342,612.0,553.0,501.0,310.0
313,849.419,948.877,651.0,556.0,516.0,317.0
314,849.602,951.41,689.0,570.0,526.0,325.0
315,849.785,953.943,640.0,571.0,527.0,316.0
316,849.967,956.473,625.0,561.0,541.0,307.0
317,850.15,959.002,633.0,565.0,527.0,304.0
318,850.333,961.53,626.0,581.0,511.0,307.0
319,850.516,964.056,643.0,594.0,513.0,319.0
320,850.698,966.58,633.0,591.0,509.0,316.0
321,850.881,969.103,621.0,582.0,518.0,305.0
322,851.063,971.625,635.0,569.0,531.0,312.0
323,851.246,974.145,627.0,567.0,541.0,325.0
324,851.428,976.663,629.0,578.0,529.0,313.0
325,851.611,979.18,662.0,550.0,502.0,288.0
326,851.793,981.696,682.0,578.0,498.0,300.0
327,851.976,984.21,675.0,595.0,509.0,303.0
328,852.158,986.722,666.0,565.0,537.0,297.0
329,852.34,989.233,677.0,577.0,557.0,316.0
330,852.522,991.743,666.0,578.0,530.0,303.0
331,852.704,994.251,674.0,591.0,535.0,297.0
332,852.887,996.757,715.0,605.0,567.0,303.0
333,853.069,999.262,744.0,614.0,561.0,300.0
334,853.251,1001.77,776.0,666.0,586.0,309.0
335,853.433,1004.27,803.0,701.0,618.0,309.0
336,853.615,1006.77,812.0,700.0,613.0,308.0
337,853.796,1009.27,822.0,689.0,609.0,313.0
338,853.978,1011.77,830.0,651.0,592.0,302.0
339,854.16,1014.26,767.0,632.0,595.0,295.0
340,854.342,1016.76,704.0,618.0,578.0,293.0
341,854.524,1019.25,707.0,600.0,563.0,307.0
342,854.705,1021.74,710.0,617.0,558.0,321.0
343,854.887,1024.23,702.0,615.0,535.0,298.0
344,855.069,1026.72,692.0,602.0,536.0,298.0
345,855.25,1029.21,699.0,618.0,559.0,313.0
346,855.432,1031.69,705.0,631.0,557.0,321.0
347,855.613,1034.18,681.0,607.0,525.0,296.0
348,855.794,1036.66,672.0,593.0,548.0,280.0
349,855.976,1039.14,698.0,613.0,554.0,294.0
350,856.157,1041.62,719.0,611.0,519.0,284.0
351,856.338,1044.1,710.0,587.0,518.0,290.0
352,856.52,1046.58,699.0,592.0,537.0,289.0
353,856.701,1049.05,697.0,628.0,546.0,285.0
354,856.882,1051.52,695.0,616.0,551.0,292.0
355,857.063,1054.0,683.0,598.0,561.0,292.0
356,857.244,1056.47,673.0,593.0,547.0,290.0
357,857.425,1058.94,686.0,589.0,556.0,293.0
358,857.606,1061.4,693.0,612.0,570.0,298.0
359,857.787,1063.87,717.0,623.0,557.0,301.0
360,857.968,1066.34,725.0,634.0,572.0,294.0
361,858.149,1068.8,701.0,624.0,567.0,284.0
362,858.33,1071.26,701.0,620.0,554.0,296.0
363,858.511,1073.72,699.0,615.0,552.0,302.0
364,858.691,1076.18,704.0,614.0,536.0,279.0
365,858.872,1078.64,707.0,640.0,540.0,277.0
366,859.053,1081.1,714.0,649.0,549.0,287.0
367,859.233,1083.55,736.0,653.0,572.0,290.0
368,859.414,1086.0,725.0,627.0,585.0,293.0
369,859.594,1088.46,702.0,607.0,537.0,263.0
370,859.775,1090.91,687.0,617.0,545.0,261.0
371,859.955,1093.35,716.0,604.0,574.0,290.0
372,860.136,1095.8,747.0,596.0,566.0,293.0
373,860.316,1098.25,727.0,618.0,565.0,275.0
374,860.496,1100.69,718.0,635.0,554.0,276.0
375,860.677,1103.14,738.0,651.0,569.0,305.0
376,860.857,1105.58,731.0,665.0,563.0,287.0
377,861.037,1108.02,727.0,649.0,557.0,269.0
378,861.217,1110.46,733.0,657.0,591.0,286.0
379,861.397,1112.89,734.0,667.0,618.0,295.0
380,861.577,1115.33,750.0,655.0,610.0,297.0
381,861.757,1117.76,762.0,662.0,594.0,284.0
382,861.937,1120.2,758.0,666.0,582.0,280.0
383,862.117,1122.63,753.0,641.0,568.0,263.0
384,862.297,1125.06,749.0,643.0,589.0,257.0
385,862.477,1127.49,751.0,654.0,588.0,266.0
386,862.657,1129.91,746.0,675.0,589.0,273.0
387,862.836,1132.34,736.0,681.0,591.0,265.0
388,863.016,1134.76,758.0,681.0,584.0,266.0
389,863.196,1137.19,772.0,689.0,587.0,292.0
390,863.375,1139.61,775.0,667.0,581.0,294.0
391,863.555,1142.03,792.0,678.0,603.0,297.0
392,863.734,1144.44,798.0,690.0,609.0,286.0
393,863.914,1146.86,780.0,698.0,628.0,277.0
394,864.093,1149.28,784.0,701.0,626.0,286.0
395,864.273,1151.69,797.0,687.0,598.0,281.0
396,864.452,1154.1,800.0,696.0,602.0,269.0
397,864.631,1156.52,793.0,711.0,596.0,267.0
398,864.811,1158.92,806.0,711.0,609.0,286.0
399,864.99,1161.33,824.0,721.0,630.0,303.0
400,865.169,1163.74,815.0,698.0,615.0,284.0
401,865.348,1166.15,811.0,690.0,596.0,253.0
402,865.527,1168.55,793.0,714.0,605.0,256.0
403,865.706,1170.95,800.0,711.0,614.0,272.0
404,865.885,1173.35,837.0,713.0,634.0,288.0
405,866.064,1175.75,841.0,693.0,657.0,297.0
406,866.243,1178.15,872.0,719.0,642.0,300.0
407,866.422,1180.55,867.0,743.0,604.0,292.0
408,866.601,1182.94,810.0,700.0,607.0,278.0
409,866.78,1185.34,813.0,696.0,611.0,271.0
410,866.959,1187.73,840.0,723.0,626.0,280.0
411,867.137,1190.12,870.0,739.0,650.0,301.0
412,867.316,1192.51,877.0,733.0,636.0,310.0
413,867.495,1194.9,870.0,738.0,646.0,292.0
414,867.673,1197.29,888.0,772.0,663.0,283.0
415,867.852,1199.67,880.0,780.0,639.0,290.0
416,868.03,1202.05,876.0,754.0,659.0,283.0
417,868.209,1204.44,920.0,770.0,716.0,299.0
418,868.387,1206.82,964.0,800.0,701.0,307.0
419,868.566,1209.2,958.0,791.0,685.0,303.0
420,868.744,1211.58,937.0,783.0,700.0,306.0
421,868.922,1213.95,928.0,780.0,703.0,312.0
422,869.101,1216.33,955.0,772.0,705.0,306.0
423,869.279,1218.7,973.0,790.0,701.0,296.0
424,869.457,1221.08,946.0,813.0,693.0,295.0
425,869.635,1223.45,958.0,800.0,686.0,280.0
426,869.813,1225.82,948.0,784.0,699.0,279.0
427,869.991,1228.18,931.0,787.0,708.0,295.0
428,870.169,1230.55,950.0,805.0,704.0,316.0
429,870.347,1232.92,959.0,829.0,737.0,307.0
430,870.525,1235.28,998.0,866.0,777.0,298.0
431,870.703,1237.64,1078.0,924.0,786.0,312.0
432,870.881,1240.01,1146.0,964.0,813.0,323.0
433,871.059,1242.36,1206.0,970.0,830.0,316.0
434,871.237,1244.72,1207.0,992.0,817.0,293.0
435,871.414,1247.08,1216.0,997.0,821.0,293.0
436,871.592,1249.44,1224.0,991.0,822.0,291.0
437,871.77,1251.79,1246.0,1023.0,845.0,301.0
438,871.947,1254.14,1376.0,1103.0,891.0,311.0
439,872.125,1256.49,1528.0,1253.0,943.0,288.0
440,872.302,1258.84,2098.0,1719.0,1224.0,295.0
441,872.48,1261.19,4026.0,3163.0,2252.0,326.0
442,872.657,1263.54,7606.0,5887.0,4331.0,345.0
443,872.835,1265.89,12084.0,9149.0,6943.0,376.0
444,873.012,1268.23,15868.0,11794.0,9425.0,405.0
445,873.189,1270.57,17891.0,13228.0,10919.0,459.0
446,873.367,1272.92,17618.0,12811.0,10740.0,478.0
447,873.544,1275.26,14853.0,10654.0,9124.0,443.0
448,873.721,1277.59,10558.0,7774.0,6582.0,421.0
449,873.898,1279.93,6382.0,4912.0,4049.0,395.0
450,874.075,1282.27,3365.0,2710.0,2224.0,355.0
451,874.252,1284.6,1738.0,1490.0,1245.0,332.0
452,874.429,1286.94,1217.0,1049.0,887.0,334.0
453,874.606,1289.27,1063.0,927.0,788.0,323.0
454,874.783,1291.6,991.0,859.0,742.0,303.0
455,874.96,1293.93,939.0,797.0,678.0,294.0
456,875.137,1296.26,915.0,807.0,676.0,317.0
457,875.314,1298.58,907.0,809.0,681.0,298.0
458,875.491,1300.91,909.0,789.0,672.0,286.0
459,875.667,1303.23,904.0,799.0,679.0,310.0
460,875.844,1305.55,875.0,770.0,674.0,305.0
461,876.021,1307.87,879.0,734.0,660.0,291.0
462,876.197,1310.19,860.0,740.0,644.0,289.0
463,876.374,1312.51,851.0,755.0,659.0,308.0
464,876.55,1314.83,853.0,749.0,653.0,303.0
465,876.727,1317.14,844.0,745.0,628.0,280.0
466,876.903,1319.46,859.0,750.0,641.0,286.0
467,877.08,1321.77,831.0,734.0,628.0,284.0
468,877.256,1324.08,808.0,718.0,603.0,276.0
469,877.432,1326.39,831.0,736.0,626.0,285.0
470,877.609,1328.7,840.0,740.0,631.0,293.0
471,877.785,1331.0,858.0,757.0,629.0,316.0
472,877.961,1333.31,864.0,772.0,650.0,312.0
473,878.137,1335.61,818.0,728.0,629.0,286.0
474,878.313,1337.92,822.0,727.0,640.0,289.0
475,878.49,1340.22,853.0,758.0,656.0,301.0
476,878.666,1342.52,852.0,750.0,634.0,296.0
477,878.842,1344.82,833.0,716.0,639.0,293.0
478,879.018,1347.11,834.0,691.0,636.0,302.0
479,879.194,1349.41,851.0,707.0,636.0,309.0
480,879.369,1351.7,842.0,723.0,627.0,297.0
481,879.545,1354.0,825.0,728.0,640.0,283.0
482,879.721,1356.29,832.0,738.0,651.0,295.0
