USB4F00653_1:101,
484.434,1379.16033
484.644,1575.30491
484.854,542.04873
485.064,342.57563
485.273,655.31263
485.483,2684.12861
485.693,820.86294
485.903,378.29127
486.112,1422.99727
486.322,2480.63798
486.532,781.063
486.742,1078.28054
486.951,567.22589
487.161,625.95609
487.371,860.65297
487.58,1232.96231
487.79,479.087
488,768.49253
488.209,753.8257
488.419,816.67394
488.628,703.52899
488.838,1345.75387
489.047,936.01785
489.257,661.60258
489.466,944.38959
489.676,889.96567
489.885,1195.3495
490.095,1825.42194
490.304,1149.36746
490.514,806.20096
490.723,879.49746
490.933,927.64569
491.142,380.39191
491.351,875.30998
491.561,762.20691
491.77,852.27694
491.98,58.6199
492.189,950.66812
492.398,613.37298
492.608,193.31069
492.817,556.73592
493.026,822.9574
493.235,925.55258
493.445,325.76513
493.654,426.59807
493.863,936.01785
494.072,747.5395
494.282,390.89463
494.491,491.68152
494.7,946.48246
494.909,231.16794
495.118,430.79789
495.327,434.99759
495.536,163.85879
495.746,437.09739
495.955,521.06449
496.164,460.19319
496.373,686.7598
496.582,512.66995
496.791,682.56721
497,493.78049
497.209,247.98999
497.418,728.67937
497.627,92.30554
497.836,783.15799
498.045,942.2967
498.254,885.77847
498.463,195.41415
498.672,776.87296
498.881,609.17837
499.089,1199.52909
499.298,697.24076
499.507,778.96799
499.716,714.00881
499.925,833.42928
500.134,413.99788
500.342,182.7929
500.551,521.06449
500.76,1013.44038
500.969,885.77847
501.177,413.99788
501.386,1283.1005
501.595,711.9129
501.804,269.01463
502.012,554.63784
502.221,458.09372
502.43,539.95044
502.638,264.80996
502.847,613.37298
503.056,407.69736
503.264,466.4914
503.473,458.09372
503.681,237.47645
503.89,781.063
504.098,367.78761
504.307,1023.90014
504.516,374.0899
504.724,317.35912
504.933,617.56747
505.141,172.27428
505.349,300.54556
505.558,208.03422
505.766,833.42928
505.975,20.71308
506.183,464.39203
506.392,988.3343
506.6,378.29127
506.808,165.96272
507.017,10.18143
507.225,1316.51828
507.433,902.52664
507.642,329.96794
507.85,1105.46427
508.058,250.0926
508.267,189.10368
508.475,336.27193
508.683,1241.31964
508.891,678.37452
509.1,1272.65619
509.308,327.86655
509.516,1249.67658
509.724,904.62004
509.932,906.71341
510.14,-105.72466
510.349,1157.72872
510.557,887.87208
510.765,142.81774
510.973,134.40039
511.181,174.37807
511.389,153.33868
511.597,560.932
511.805,269.01463
512.013,852.27694
512.221,690.95227
512.429,854.37099
512.637,1274.7451
512.845,1072.00676
513.053,48.09135
513.261,802.01158
513.469,489.58251
513.677,1318.60669
513.885,491.68152
514.093,552.53973
514.3,279.52575
514.508,422.39813
514.716,1708.7385
514.924,424.49812
515.132,458.09372
