wavelength_nm_reported,counts
915.538,5143.33424
915.774,4886.1022
916.011,4102.2121
916.247,3410.61337
916.484,3080.84359
916.72,3596.59626
916.956,4468.05286
917.192,4607.74409
917.429,4632.86773
917.665,5308.1118
917.901,5957.08505
918.137,5860.65228
918.373,5373.41744
918.609,5619.55647
918.845,6342.78431
919.081,7312.83305
919.317,7260.62336
919.553,6293.57032
919.788,5636.63474
920.024,5690.88271
920.26,5573.34418
920.495,5157.40098
920.731,5495.9872
920.966,6437.19251
921.202,7453.39293
921.437,7812.79364
921.673,7226.48574
921.908,6040.45665
922.144,5292.03635
922.379,5054.91324
922.614,4677.08481
922.849,4538.40177
923.084,4601.71439
923.32,4642.91712
923.555,4696.17835
923.79,4989.60058
924.025,5095.10493
924.26,4868.01473
924.495,5006.68249
924.729,4958.45096
924.964,4558.50116
925.199,4410.76753
925.434,5008.69212
925.668,5278.97498
925.903,4952.42196
926.138,4341.42067
926.372,3822.77664
926.607,3223.61401
926.841,2808.35548
927.075,2676.62783
927.31,2651.48836
927.544,2422.2074
927.778,2329.68598
928.013,2408.12822
928.247,2343.76549
928.481,2099.37685
928.715,1981.70187
928.949,1888.16241
929.183,1841.89463
929.417,1870.05771
929.651,1786.57364
929.885,1638.71131
930.119,1570.31027
930.353,1538.12108
930.586,1423.44466
930.82,1319.8303
931.054,1304.74057
931.287,1271.54295
931.521,1255.44703
931.754,1243.37503
931.988,1294.68072
932.221,1222.24895
932.455,1142.7735
932.688,1088.4475
932.921,1111.58645
933.155,1116.61664
933.388,1166.91813
933.621,1204.14077
933.854,1308.76451
934.087,1390.24816
934.32,1338.94386
934.553,1249.41103
934.786,1169.93619
935.019,1193.07462
935.252,1227.27898
935.485,1209.17083
935.718,1141.76747
935.951,1105.55022
936.183,1154.84583
936.416,1187.03852
936.649,1175.97232
936.881,1120.64079
937.114,1195.08665
937.346,1269.53097
937.579,1376.1647
937.811,1603.50506
938.043,1855.9762
938.276,2000.81176
938.508,2007.85222
938.74,1880.11589
938.972,1670.89957
939.204,1446.58144
939.436,1363.08715
939.668,1388.23624
939.9,1344.9797
940.132,1373.14681
940.364,1390.24816
940.596,1458.65274
940.828,1409.36134
941.06,1392.26008
941.292,1405.33752
941.523,1337.93788
941.755,1234.32101
941.986,1211.18285
942.218,1375.15874
942.45,1497.88417
942.681,1419.42086
942.912,1232.309
943.144,1132.71319
943.375,1175.97232
943.606,1321.84226
943.838,1400.30774
944.069,1461.67055
944.3,1343.97372
944.531,1237.33902
944.762,1127.68303
944.993,1164.90608
945.224,1181.00242
945.455,1241.36303
945.686,1241.36303
945.917,1274.56093
946.148,1362.08118
946.379,1391.25412
