raman_shift_reported_cm-1,rep1,rep2,rep3
1472.037,1016.66133,1046.49011,1305.45688
1475.104,1021.28854,1056.34859,1295.59784
1478.169,1007.60556,1044.47656,1308.67402
1481.231,1017.26527,1049.50853,1299.0192
1484.291,1016.66225,1051.11879,1305.0557
1487.349,1032.75927,1054.13737,1298.41703
1490.404,1030.34501,1065.00265,1324.97446
1493.458,1038.19028,1075.26222,1324.77097
1496.509,1058.31203,1088.1405,1350.32354
1499.558,1069.98108,1092.56615,1359.57715
1502.605,1068.77523,1097.59762,1355.55516
1505.649,1064.14662,1098.60269,1357.56586
1508.692,1053.28247,1102.22528,1365.01098
1511.732,1074.40849,1108.26087,1361.18783
1514.77,1069.78422,1108.46563,1371.05046
1517.806,1075.6183,1102.02626,1365.41609
1520.839,1053.88766,1108.66541,1367.02493
1523.871,1066.96764,1108.86833,1378.69595
1526.9,1069.58388,1115.10621,1380.10501
1529.927,1065.96599,1114.50659,1373.06843
1532.952,1065.96685,1124.97004,1379.90995
1535.974,1067.57416,1119.53511,1361.39756
1538.995,1070.99403,1112.49236,1360.18962
1542.013,1064.96099,1123.1594,1365.2234
1545.029,1048.66487,1099.62028,1356.57438
1548.043,1069.9941,1126.78418,1366.03199
1551.055,1071.40466,1141.27304,1395.40835
1554.064,1103.39616,1176.68432,1429.8111
1557.072,1127.34098,1198.41555,1453.15061
1560.077,1163.15603,1249.11857,1512.09866
1563.08,1234.98385,1345.89245,1606.24983
1566.081,1309.22481,1443.26752,1731.17783
1569.08,1355.70236,1505.63698,1804.00317
1572.077,1408.61946,1561.77117,1870.79504
1575.071,1586.86596,1776.82334,2132.09109
1578.063,1958.2196,2295.99421,2691.0264
1581.053,2399.32911,2875.61998,3337.13667
1584.041,2620.164,3148.90568,3642.55101
1587.027,2512.55857,3019.79988,3497.58041
1590.011,2246.46161,2683.35597,3112.72596
1592.993,2003.47857,2357.33902,2759.20123
1595.972,1813.98658,2119.59227,2496.74556
1598.949,1711.99978,1986.63797,2344.09665
1601.925,1664.12247,1931.12082,2236.08868
1604.898,1651.44981,1910.20183,2237.90082
1607.869,1721.04862,1984.82307,2323.9779
1610.837,1825.85458,2131.66021,2492.52098
1613.804,1898.87777,2229.01503,2595.2956
1616.769,1894.05421,2244.91019,2607.16756
1619.731,1821.63704,2153.99558,2493.13406
1622.691,1713.00564,1976.58019,2317.54692
1625.649,1593.306,1839.18733,2146.97908
1628.605,1476.61985,1679.05625,1983.24161
1631.559,1395.74319,1571.22645,1854.50068
1634.511,1324.72196,1489.14359,1756.73334
1637.461,1278.24717,1409.8775,1687.93466
1640.409,1236.59813,1359.17627,1630.59842
1643.354,1195.35243,1316.92606,1563.00297
1646.297,1160.94832,1256.97125,1508.88702
1649.239,1108.63451,1203.04919,1447.72596
1652.178,1072.61549,1154.35509,1393.20002
1655.115,1038.40841,1096.20524,1330.62744
1658.05,982.2679,1048.31499,1276.5026
1660.983,960.73636,1011.89424,1234.45021
1663.914,930.35421,990.76829,1204.07069
1666.843,920.0944,966.22272,1193.61114
1669.769,905.20482,945.49815,1163.2303
1672.694,885.28203,920.74631,1139.48536
1675.616,873.81376,915.91831,1115.7448
1678.537,865.96822,909.07905,1106.69313
1681.455,860.73617,906.06042,1089.59018
1684.371,840.8151,893.98705,1078.52337
1687.286,843.02812,870.24297,1072.88907
1690.198,840.01234,874.67239,1055.38723
1693.108,828.14093,857.36819,1043.31548
1696.016,819.89081,858.37424,1041.50454
1698.922,816.67212,849.72269,1029.23184
1701.825,810.23412,833.02251,1016.15454
1704.727,800.77752,828.19411,996.83932
1707.627,782.66553,806.86262,977.52053
1710.525,773.20735,809.67906,975.50757
1713.42,753.48894,788.75358,960.61985
1716.314,757.31187,780.50303,941.7052
1719.205,738.3964,764.00237,946.13164
1722.095,733.76877,772.45442,936.07162
1724.982,734.17149,765.2106,916.15154
1727.867,727.12835,758.36874,912.93183
1730.751,720.08513,745.08756,904.8828
1733.632,714.45117,734.82544,892.60904
1736.511,702.37744,741.86833,882.34685
1739.389,702.98013,723.95812,869.06516
1742.264,705.5958,718.72591,874.69892
1745.137,690.30306,716.51304,871.27898
1748.008,687.4856,709.46981,857.99817
1750.877,690.90548,706.0479,858.19813
1753.744,690.70415,711.48094,850.95409
1756.609,687.28387,711.28034,855.18047
1759.472,690.90764,711.28205,854.37765
1762.333,686.68007,709.87164,849.94861
1765.192,682.65507,709.46874,849.34442
1768.049,676.01422,708.86476,842.7038
1770.904,675.2105,703.23163,852.16266
1773.757,691.71303,704.0383,856.39044
1776.608,690.50576,713.0937,849.14663
1779.457,680.64561,708.26433,849.34799
1782.304,667.56494,699.00708,834.05429
1785.148,665.14921,677.877,828.21765
1787.991,651.46532,672.84605,818.55875
1790.832,645.22732,663.58964,801.45506
1793.671,646.03248,663.38865,796.42477
1796.508,646.23445,660.97464,801.05383
1799.343,636.97792,657.55385,796.42586
1802.176,639.79576,660.17047,790.18866
1805.007,628.12434,656.95084,782.13977
1807.835,627.92197,659.56565,779.3212
1810.662,625.50727,646.88818,782.74214
1813.487,624.50079,639.84474,772.27806
1816.31,619.26796,636.42301,759.19749
1819.131,616.24989,639.64315,766.84455
1821.95,622.08658,628.77757,758.99793
1824.767,620.67852,633.4065,764.83418
1827.582,605.18398,632.80327,752.96241
1830.395,599.14639,612.67937,751.55312
1833.206,603.57266,616.30068,746.52138
1836.016,605.38392,618.91687,751.14977
1838.823,598.1396,614.8923,746.11924
1841.628,591.29588,606.63993,721.36619
1844.431,585.46021,607.04253,730.22031
1847.232,593.30871,598.79233,734.64775
1850.032,579.02098,606.03664,718.95195
1852.829,588.27804,601.81102,719.15352
1855.624,579.02047,595.57198,707.68258
1858.418,568.7557,585.70966,697.8202
1861.209,561.71278,579.06925,691.18005
1863.999,564.93356,583.29622,703.65744
1866.787,550.24386,581.08316,696.21263
1869.572,552.05532,576.45512,689.17007
1872.356,556.08039,573.43695,681.32256
1875.138,550.04327,568.40604,682.93236
1877.917,553.6657,568.80869,680.92028
1880.695,544.60905,569.41134,678.30303
1883.471,538.77218,557.93988,686.14967
1886.245,536.15667,554.92193,669.24715
1889.017,548.02927,566.99569,667.03321
1891.787,541.79213,556.13021,667.83958
1894.556,551.65362,559.55214,675.48744
1897.322,549.03729,564.98525,665.82808
1900.086,545.01273,553.1125,664.62091
1902.849,537.97038,554.11965,675.48853
1905.609,533.54294,550.6984,661.20089
1908.368,525.29129,548.08139,654.35791
1911.124,533.13969,544.45927,650.13223
1913.879,525.29143,549.49019,641.47928
1916.632,524.48642,547.47777,643.89399
1919.383,519.05292,532.18367,630.0089
1922.132,517.84578,526.34809,632.02159
1924.879,510.60144,524.73843,626.78984
1927.624,503.96035,519.10355,613.70945
1930.367,502.55206,518.50023,613.30746
1933.109,500.13637,513.06595,604.25095
1935.848,490.27524,510.65067,598.81715
1938.586,485.24495,494.14981,591.37236
1941.321,489.27025,491.93668,587.95198
1944.055,476.59251,495.96188,581.71418
1946.787,470.9582,497.57226,579.09866
1949.517,474.17799,488.31514,567.02443
1952.245,470.15314,480.86922,562.39597
1954.971,465.52495,473.62491,557.56672
1957.695,458.68266,465.37394,556.15798
1960.418,449.82809,466.98397,545.29129
1963.138,452.84717,464.97201,550.12152
1965.857,438.55877,457.52589,535.0285
1968.574,434.13146,453.29985,530.60131
1971.289,436.34509,450.68365,527.18021
1974.002,425.67944,438.81059,527.58301
1976.713,424.87436,434.18188,507.45896
1979.422,413.20177,425.12548,495.18282
1982.13,410.58578,422.71075,487.93839
1984.835,398.51119,421.1009,478.27896
1987.539,396.29753,410.83748,470.02811
