USB4F00653_1:101,
415.739,381.45972
415.953,1001.11446
416.167,700.19276
416.381,703.54646
416.595,419.26559
416.81,705.64248
417.024,974.75104
417.238,931.22135
417.452,249.47934
417.666,581.92808
417.88,639.81378
418.094,532.41383
418.308,403.30434
418.522,785.47989
418.736,938.12827
418.95,430.18543
419.164,425.77559
419.378,576.89348
419.592,886.424
419.806,261.46365
420.02,171.87105
420.234,721.36173
420.447,690.55049
420.661,499.67497
420.875,567.24337
421.089,736.45072
421.303,667.28078
421.517,524.2298
421.73,191.22473
421.944,683.84247
422.158,602.48424
422.372,253.89474
422.586,231.39575
422.799,677.97271
423.013,450.97281
423.227,185.7555
423.44,161.56198
423.654,717.58926
423.868,715.70298
424.082,279.54326
424.295,188.27979
424.509,678.81126
424.722,725.76284
424.936,229.50315
425.15,384.82065
425.363,677.13415
425.577,688.24464
425.79,225.50755
426.004,870.30232
426.217,552.76703
426.431,674.19917
426.644,247.79725
426.858,477.21523
427.071,667.07113
427.285,467.34863
427.498,646.10437
427.712,407.50484
427.925,743.78512
428.139,840.98606
428.352,253.47423
428.565,588.22108
428.779,846.84974
428.992,664.55527
429.206,161.56198
429.419,216.46446
429.632,959.26582
429.846,1065.95932
430.059,538.4991
430.272,126.84184
430.485,879.09616
430.699,711.092
430.912,621.98903
431.125,302.03434
431.338,728.06813
431.552,1020.36133
431.765,471.75719
431.978,702.70804
432.191,810.40769
432.404,693.48516
432.617,554.02589
432.83,756.5671
433.044,651.34633
433.257,1009.48293
433.47,714.65504
433.683,185.12442
433.896,1009.90135
434.109,857.73886
434.322,893.75151
434.535,851.03795
434.748,1512.11869
434.961,1731.68098
435.174,1723.34487
435.387,2275.96469
435.6,2592.802
435.813,1522.96696
436.026,580.66944
436.239,512.2677
436.452,965.33453
436.665,1094.19051
436.877,441.94431
437.09,485.19198
437.303,891.0299
437.516,1085.61708
437.729,463.7797
437.942,258.73048
438.154,953.82473
438.367,761.5958
438.58,266.92983
438.793,506.39123
439.005,798.2585
439.218,970.56599
439.431,451.81264
439.644,184.91406
439.856,882.02734
440.069,737.49851
440.282,384.61059
440.494,649.66892
440.707,885.79591
440.92,915.52274
441.132,445.51379
441.345,394.48288
441.557,642.33005
441.77,617.58494
441.982,633.73263
442.195,934.9888
442.408,568.50211
442.62,769.76708
442.833,805.38055
443.045,511.42822
443.257,649.03989
443.47,738.75585
443.682,403.72439
443.895,358.14106
444.107,562.62788
444.32,762.85294
444.532,609.40559
444.744,722.82878
444.957,854.38844
445.169,785.89888
445.382,636.87809
445.594,455.38187
445.806,822.55596
446.019,460.42063
446.231,594.93333
446.443,554.2357
446.655,605.63035
446.868,804.33321
447.08,240.8584
447.292,531.99415
447.504,692.43707
447.716,484.35234
447.929,385.66087
448.141,565.56502
448.353,782.75645
448.565,738.75585
448.777,529.89572
448.989,1188.88835
449.201,593.46505
449.414,496.10683
449.626,362.76308
449.838,421.57563
450.05,580.66944
450.262,558.43185
450.474,520.03269
450.686,337.76033
450.898,897.93851
451.11,959.05655
451.322,234.97061
451.534,433.54521
451.746,328.30435
451.958,644.21722
452.17,345.32466
452.381,364.44378
452.593,402.88428
452.805,542.27604
453.017,323.05074
453.229,401.20404
453.441,734.35511
453.653,864.43949
453.864,317.79694
454.076,565.77482
454.288,965.33453
454.5,1331.57171
454.712,437.53484
454.923,879.30553
455.135,589.06013
455.347,508.49
455.558,427.03556
455.77,822.55596
455.982,407.71486
456.193,720.52341
456.405,590.73821
456.617,653.23339
456.828,573.95656
457.04,513.10718
457.252,243.38166
457.463,566.19441
457.675,550.66889
457.886,916.56936
458.098,1068.67808
458.309,370.11599
458.521,594.51382
458.732,780.87096
458.944,1179.06556
459.155,543.11535
459.367,857.11066
459.578,952.77835
459.79,548.57072
460.001,131.68217
460.213,632.26473
460.424,689.08314
460.635,938.12827
460.847,516.25518
461.058,598.70883
461.269,584.23554
461.481,1222.32356
461.692,456.22167
461.903,755.51944
462.115,624.08617
462.326,337.34008
462.537,626.39299
462.748,677.76307
462.96,762.43389
463.171,437.9548
463.382,686.35801
463.593,737.0794
463.804,1189.51532
464.016,292.78612
464.227,521.29183
464.438,819.41426
464.649,488.97029
464.86,742.31826
465.071,411.70522
465.282,982.70235
465.493,969.51971
465.704,352.46837
465.915,684.89062
