USB4F00653_1:101,
567.662,1066.42987
567.866,441.99681
568.07,408.39743
568.274,1851.11142
568.478,483.985
568.682,208.7353
568.887,536.45322
569.091,330.6684
569.295,1990.61471
569.499,656.01152
569.703,1060.15566
569.907,2400.30555
570.111,1177.23679
570.315,852.97496
570.519,297.04248
570.723,926.25029
570.927,1104.07034
571.131,227.66309
571.335,496.57909
571.538,756.61949
571.742,1559.31472
571.946,779.66633
572.15,1767.78289
572.354,852.97496
572.558,1544.71385
572.762,1300.50636
572.965,899.03758
573.169,492.38118
573.373,1175.14674
573.577,496.57909
573.78,595.19552
573.984,1640.64278
574.188,731.47361
574.392,1928.16152
574.595,101.42723
574.799,1930.24358
575.003,1298.41774
575.206,672.78407
575.41,1605.19616
575.613,628.7522
575.817,4512.47315
576.021,383.19271
576.224,99.32228
576.428,519.66543
576.631,2040.5647
576.835,557.43528
577.038,1732.35827
577.242,2184.11025
577.445,687.45855
577.649,116.16094
577.852,773.38116
578.056,404.19696
578.259,1655.23664
578.462,448.29581
578.666,926.25029
578.869,496.57909
579.073,844.59853
579.276,762.90532
579.479,896.94411
579.683,1946.89933
579.886,5003.68561
580.089,1892.76352
580.292,397.89601
580.496,639.23713
580.699,1062.24709
580.902,917.87763
581.105,1404.90707
581.309,842.50436
581.512,1053.88122
581.715,888.56995
581.918,1005.76947
582.121,578.41437
582.324,3120.37406
582.527,1994.77764
582.731,1058.06421
582.934,1480.03974
583.137,620.36373
583.34,389.49431
583.543,1855.27699
583.746,2069.6971
583.949,1250.37298
584.152,930.43646
584.355,679.07331
584.558,913.69114
584.761,2142.51197
584.964,1386.11925
585.167,78.27092
585.37,2624.62017
585.572,1676.08319
585.775,540.64987
585.978,1267.08564
586.181,788.04617
586.384,1944.81743
586.587,1726.10624
586.789,681.16966
586.992,288.63473
587.195,1137.52165
587.398,525.96108
587.601,362.18534
587.803,187.70131
588.006,632.94626
588.209,456.69406
588.411,708.41966
588.614,404.19696
588.817,961.82936
589.019,477.68755
589.222,-14.39582
589.425,315.95806
589.627,1003.67735
589.83,494.48015
590.032,483.985
590.235,391.59478
590.437,1946.89933
590.64,1239.92678
590.843,687.45855
591.045,2163.31203
591.247,651.8181
591.45,120.37027
591.652,397.89601
591.855,984.84705
592.057,1761.53192
592.26,630.84924
592.462,1342.27368
592.664,932.5295
592.867,1525.9397
593.069,1193.95628
593.271,1331.83274
593.474,44.58164
593.676,637.1402
593.878,1062.24709
594.081,576.31659
594.283,217.14798
594.485,999.49302
594.687,792.23592
594.89,1459.17251
595.092,2780.28365
