raman_shift_reported_cm-1,counts
2177.407,251.32249
2179.979,248.10236
2182.549,250.71898
2185.118,246.29133
2187.685,244.4797
2190.25,241.46093
2192.813,245.28497
2195.375,239.24715
2197.935,246.49249
2200.493,243.27259
2203.049,238.24118
2205.604,242.66855
2208.157,240.25358
2210.708,239.44866
2213.257,240.65621
2215.805,236.42961
2218.351,237.436
2220.895,239.04618
2223.438,237.03347
2225.979,233.00862
2228.518,227.37338
2231.056,231.59972
2233.591,230.1909
2236.125,229.98958
2238.658,228.78233
2241.188,231.1972
2243.717,228.78192
2246.245,225.56177
2248.77,225.15951
2251.294,223.75086
2253.816,223.75081
2256.337,218.51817
2258.855,221.33576
2261.372,217.71305
2263.888,215.49932
2266.402,217.5119
2268.914,216.10286
2271.424,211.27287
2273.932,209.66286
2276.439,213.28532
2278.945,214.49317
2281.448,212.883
2283.95,213.48687
2286.45,207.65017
2288.949,213.08415
2291.446,205.43629
2293.941,205.4364
2296.435,210.46807
2298.927,207.04638
2301.417,203.62529
2303.905,207.4492
2306.392,209.26053
2308.877,208.45539
2311.361,201.61278
2313.843,206.24155
2316.323,203.02141
2318.802,203.02165
2321.279,210.66937
2323.754,198.19134
2326.228,206.04034
2328.7,199.3989
2331.17,201.00875
2333.639,199.80158
2336.106,201.41119
2338.571,203.8266
2341.035,193.96499
2343.497,193.96487
2345.957,193.96486
2348.416,192.35471
2350.873,194.77014
2353.329,195.17245
2355.783,189.53735
2358.235,193.15993
2360.686,195.57509
2363.135,188.32976
2365.582,193.16016
2368.028,184.50606
2370.472,190.34242
2372.915,185.31086
2375.355,183.49975
2377.795,187.52488
2380.232,182.49357
2382.668,178.87072
2385.103,180.27959
2387.536,178.87072
2389.967,173.43663
2392.397,175.85168
2394.824,165.78871
2397.251,177.4617
2399.676,172.02782
2402.099,169.21008
2404.52,169.0087
2406.94,165.99002
2409.359,168.20396
2411.775,171.22268
2414.191,168.40522
2416.604,169.41124
2419.016,166.39245
2421.426,164.58133
2423.835,166.39255
2426.242,166.19146
2428.648,165.78868
2431.052,163.77625
2433.454,164.38014
2435.855,166.79512
2438.255,161.56255
2440.652,165.78869
2443.048,165.38622
2445.443,161.76365
2447.836,164.5816
2450.227,164.98394
2452.617,165.38639
2455.005,161.56242
2457.392,158.54374
2459.777,162.97151
2462.16,164.98399
2464.542,156.73237
2466.923,166.39287
2469.301,156.53115
2471.679,155.32361
2474.054,159.34891
2476.428,160.55623
2478.801,162.16642
2481.172,156.93362
2483.541,154.92111
2485.909,157.94002
2488.275,161.56258
2490.64,154.31728
2493.003,151.29826
2495.365,155.12222
2497.725,153.10958
2500.084,153.31107
2502.441,150.89583
2504.796,154.31734
2507.15,155.72613
2509.503,153.31123
2511.853,152.30478
2514.203,147.67569
2516.55,149.28593
2518.897,147.87684
2521.241,145.26069
2523.585,143.44933
2525.926,143.65062
2528.266,139.62544
2530.605,140.43036
2532.942,137.61279
2535.277,136.40504
2537.611,137.21018
2539.944,138.82027
2542.275,142.44291
2544.604,139.22285
2546.932,140.22908
2549.259,140.43041
2551.583,133.18502
2553.907,135.60018
2556.229,136.00242
2558.549,132.17868
2560.868,132.98374
2563.185,126.14076
2565.501,127.75094
2567.815,131.17234
2570.128,127.95208
2572.439,132.17868
2574.749,129.96479
2577.057,128.95851
2579.364,128.1534
2581.669,123.1219
2583.973,128.95848
2586.275,122.51809
2588.576,125.53704
2590.875,122.5182
2593.173,122.51814
2595.469,123.72574
2597.764,121.51192
2600.058,122.92073
2602.349,125.13458
2604.64,121.31064
2606.929,120.70674
2609.216,121.91446
2611.502,114.06509
2613.786,120.50533
2616.069,118.09042
2618.351,119.70046
2620.631,115.07139
2622.909,115.07139
2625.186,124.73207
2627.462,114.06529
2629.736,113.864
2632.008,112.85757
2634.28,111.44885
2636.549,116.88275
2638.817,110.84505
2641.084,110.24122
2643.349,109.6374
2645.613,110.04001
2647.876,110.44252
2650.136,106.61852
2652.396,108.22862
2654.654,106.2161
2656.91,108.22874
2659.165,104.60605
2661.419,101.7884
2663.671,107.22238
2665.922,105.00852
2668.171,104.4048
2670.419,102.39211
2672.665,101.78835
2674.91,99.57442
2677.154,104.40478
2679.396,101.78825
2681.636,99.57453
2683.875,104.80717
2686.113,100.98326
2688.349,99.17182
2690.584,100.17819
2692.818,100.78204
2695.049,99.57444
2697.28,96.35425
2699.509,93.13413
2701.737,95.95176
2703.963,93.73789
2706.188,96.15316
2708.411,92.32914
2710.633,94.54301
2712.853,95.95182
2715.073,94.14049
2717.29,94.74433
2719.506,89.91397
2721.721,94.14058
2723.935,92.93287
2726.147,90.3166
2728.357,92.93299
2730.566,91.92665
2732.774,92.53039
2734.98,92.12795
2737.185,91.72538
2739.389,87.90149
2741.591,89.71282
2743.792,91.72545
2745.991,93.9393
2748.189,94.54308
2750.385,88.70654
2752.58,91.32296
2754.774,93.73814
2756.966,88.50523
2759.157,85.48578
2761.346,93.33546
2763.534,89.51158
2765.721,90.51789
2767.906,89.91407
2770.09,92.12793
2772.273,88.10273
2774.454,92.12799
2776.634,89.91398
2778.812,88.90787
2780.989,96.3545
2783.164,91.52417
2785.339,88.3039
2787.511,88.1028
2789.683,89.51152
2791.853,90.51791
2794.021,87.49899
2796.189,90.92042
2798.354,90.11539
2800.519,87.70022
2802.682,88.50534
2804.844,82.46745
2807.004,86.49271
2809.163,84.27885
2811.321,84.68133
2813.477,82.06491
2815.632,88.3041
2817.785,81.86376
2819.938,80.65612
2822.088,85.08391
2824.238,86.69392
2826.386,83.07133
2828.533,88.30402
2830.678,83.87631
2832.822,81.46115
2834.965,82.46753
2837.106,81.86369
2839.246,81.86369
2841.384,76.42965
2843.521,81.86362
2845.657,83.47371
2847.792,80.25357
2849.925,83.27249
2852.057,81.25988
2854.187,84.68136
2856.316,83.27252
2858.444,84.48008
2860.57,81.46111
2862.696,88.70648
2864.819,85.285
2866.942,80.6559
2869.063,82.46724
2871.182,88.50512
2873.301,89.51145
2875.418,92.5304
2877.534,89.71284
2879.648,92.32923
2881.761,97.56204
2883.873,97.36079
2885.983,97.15955
2888.092,96.95824
2890.2,96.15309
2892.306,98.76964
2894.411,102.79487
2896.515,97.15948
2898.617,97.36072
2900.718,100.9835
2902.818,104.60619
2904.917,105.20991
2907.014,111.44893
2909.11,113.86416
2911.204,113.2603
2913.297,122.11572
2915.389,125.33593
2917.48,127.5496
2919.569,133.99006
2921.657,136.80765
2923.743,141.83911
2925.829,153.71325
2927.913,162.76997
2929.995,170.61892
2932.077,183.90195
2934.157,185.71309
2936.236,191.5495
2938.313,202.21624
2940.389,207.85126
2942.464,219.12141
2944.538,214.89496
2946.61,211.2725
2948.681,207.85139
2950.751,192.75719
2952.819,185.9144
2954.886,175.85167
2956.952,162.36737
2959.016,158.34224
2961.08,143.65051
2963.142,129.56237
2965.202,126.34225
2967.262,119.0969
2969.32,116.48059
2971.376,107.8264
2973.432,107.62503
2975.486,98.36707
2977.539,103.80132
2979.591,96.75701
2981.641,96.75709
2983.69,97.76347
2985.738,91.12177
2987.785,90.51813
2989.83,90.31684
2991.874,87.0966
2993.916,84.68155
2995.958,86.49298
2997.998,86.69412
3000.037,81.86385
3002.075,78.64365
3004.111,79.0462
3006.146,79.85125
3008.18,75.42349
3010.212,75.82599
3012.244,74.01462
3014.274,72.20327
3016.302,74.01471
3018.33,69.38565
3020.356,67.57431
3022.381,65.15923
3024.405,64.1529
3026.427,65.15922
3028.449,64.95796
3030.469,61.13402
3032.487,-1.05665
3034.505,0.15095
3036.521,-1.45918
